lat,lng,periodo,fecha,dia,horario,horario_hasta,evento,lugar,direccion,descripcion,organiza,barrio,comuna,codigo_postal,codigo_postal_arg
-34.586496000000004,-58.391578,201703,01/03/2017,MIERCOLES,19 h,,Diosque+ Ibiza Pareo + Feli,Terraza. Centro Cultural Recoleta, Junín 1930,"Como parte del Ciclo Radar Música,todos los miércoles del año se presentan distintas bandas qu representan lo más nuevo de la escena musical independiente.",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.576177,-58.483568000000005,201703,01/03/2017,MIERCOLES,20 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.593641999999996,-58.385951,201703,01/03/2017,MIERCOLES,12 h,,Muestra La impunidad de la selva,Biblioteca Ricardo Güiraldes, Talcahuano 1261,"Muestra fotográfica de Irupé Tentorio, en homenaje al 80 aniversario de la muerte de Horacio Quiroga, podrá visitarse hasta el jueves 16 de marzo inclusive.",Dirección General del Libro y Promoción de la Lectura,Retiro,Comuna 1,1014.0,C1014ADA
-34.586496000000004,-58.391578,201703,01/03/2017,MIERCOLES,13. 30 , 22 h,El museo de los Mundos Imaginarios,"Sala Cronopios, J y C, Centro Cultural Recoleta", Junín 1930,"El museo de los mundos imaginarios reedita una experiencia desarrollada en el Museo de Arte Contemporáneo de Mar del Plata (MAR). Curador: Rodrigo Alonso Artistas inlcuidos en la muestra: Ananké Asseff, Dolores Avendaño, Amadeo Azar, Eduardo Basualdo, Javier Bilatz, Érica Bohm, Marcela Cabutti, Eugenia Calvo, Susan Consorte, Fermín Eguía, Raquel Forner, Alejandro Gabriel, Leónidas Gambartes, Sebastián Gordín, Gyula Kosice, Marcos López, Javier Mrad, Tadeo Muleiro, Tatiana Parcero, Duilio Pierri, San Poggio, Liliana Porter, Proyecto Biopus, RES, Silvia Rivas, Xul Solar, Paula Toto Blake, Carlos Trilnick, Anabel Vanoni. La exposición se puede ver hasta el 23 de abril.",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.586496000000004,-58.391578,201703,01/03/2017,MIERCOLES,13. 30 , 22 h,Triplexxx,"Sala 7, Centro Cultural Recoleta ", Junín 1930,Seleccionado de la convocatoria de Proyectos colectivos de Creación. Triplexx es un colectivo de artistas que proponen una instalación donde la gestión es obra. Montaje de una sede de gestión donde se llevan a cabo instancias de reflexión sobre la práctica artística contemporánea. Puede visitarse su sede hasta el 24 de marzo.,DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.586496000000004,-58.391578,201703,01/03/2017,MIERCOLES,13. 30 , 22 h,Íconos Argentinos,"Sala 3, 4 y 5, Centro Cultural Recoleta", Junín 1930,"Una muestra que captura a través de la fotografía gestos mínimos, respiraciones y miradas de icónicas figuras argentinas. Fotografías de Gianni Mestichelli y curada por Renata Schussheim.  La muestra se puede ver hasta el 24 de marzo.",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.605371000000005,-58.388586,201703,02/03/2017,JUEVES,18 h,,CINE: Gallipoli,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1981.,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,02/03/2017,JUEVES,20.30 h,,CINE: El año que vivimos en peligro,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1982.,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.576177,-58.483568000000005,201703,02/03/2017,JUEVES,20 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.597887,-58.429804000000004,201703,02/03/2017,JUEVES,19 h,,La clase viva. Entrevistando a Tadeusz Kantor ,Casa de la Lectura/Biblioteca Julio Cortázar, Lavalleja 924,"Instalación audiovisual. El público, inserto en un espacio kantoriano, asiste a una entrevista en vivo generada a partir de entrevistas reales en las que el autor polaco opina sobre el arte, sobre las instituciones, los críticos, la relación con los actores, etc.  ",Dirección General del Libro y Promoción de la Lectura,Villa Crespo,Comuna 15,1414.0,C1414DTT
-34.605371000000005,-58.388586,201703,03/03/2017,VIERNES,21 h,,Karma y yo,"Sala 3, El Cultural San Martín", Sarmiento 1551,"Parte del ciclo de obras Una Voz de Dennis Smith. Karma y yo es una comedia sobre las pequeñas tragedias cotidianas, dirigida por Virginia Smith.",DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,03/03/2017,VIERNES,21.30 h,,CINE: Led Zeppelin: La canción es la misma,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo el Cultural de Culto. Una película de Peter Clifton y Joe Massot (1976).,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,03/03/2017,VIERNES,17 h,,CINE:La costa mosquito,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1986.,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,03/03/2017,VIERNES,19.30 h,,CINE: The Truman show,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1989.,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.576177,-58.483568000000005,201703,03/03/2017,VIERNES,20 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.576177,-58.483568000000005,201703,03/03/2017,VIERNES,22 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.597887,-58.429804000000004,201703,03/03/2017,VIERNES,19 h,,CINE: Cuerpo Celeste,Casa de la Lectura/Biblioteca Julio Cortázar, Lavalleja 924,"Cine para lectores, parte del ciclo Viaje a Italia. En esta oportunidad una película de Alice Rohrwacher.",Dirección General del Libro y Promoción de la Lectura,Villa Crespo,Comuna 15,1414.0,C1414DTT
-34.586496000000004,-58.391578,201703,03/03/2017,VIERNES,21 h ,,CINE: Fuga de la Patagonia,Microcine.Centro Cultural Recoleta, Junín 1930,"Como parte del Ciclo Cine independiente ""7+1"", en Marzo y abril se presentan 7 peliculas de directores del cine emergente, de la mano de una película dirigida por un consagrado.  En este caso, se trata de una película dirigida por Javier Zevallos y Francisco D'Eufemia.",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.605371000000005,-58.388586,201703,04/03/2017,SABADO,20 h,,Negra,"Sala 3, El Cultural San Martín", Sarmiento 1551,"Parte del ciclo de obras Una Voz de Dennis Smith. Negra es un ejercicio catártico dictado por un chamán que sucede en pleno Miami Beach, donde todo es fantástico, excepto la sala de espera en la que transcurre esta obra, dirigida por Dennis Smith. ",DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,04/03/2017,SABADO,20 h,,CINE: La luz incidente,"Sala 1, El Cultural San Martín", Sarmiento 1551,Una película de Ariel Rotter,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,04/03/2017,SABADO,22 h,,CINE: The amityville horror,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo el Cultural de Culto Extremo. Una película de Stuart Rosenberg (1979).,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,04/03/2017,SABADO,17 h,,CINE: La sociedad de los poetas muertos,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1989.,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.576177,-58.483568000000005,201703,04/03/2017,SABADO,20 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
